Open,High,Low,Close,Volume,Dividends,Stock Splits
199.07135133423577,200.88679731225912,197.8452066566346,198.36798095703125,22588900,0.0,0.0
198.42502169750838,199.21393305825572,197.23690479940333,198.55809020996094,17958900,0.0,0.0
199.2234376356791,200.73471877613036,198.57709453262723,199.86976623535156,20184800,0.0,0.0
200.10740203040297,201.84680693348818,198.85275811055578,201.01988220214844,21336200,0.0,0.0
201.5058279761873,202.0870312239164,199.37157032879307,199.80032348632812,27627600,0.51,0.0
199.6478750598317,204.85012175813844,199.047626449657,204.449951171875,26981500,0.0,0.0
203.76391835685175,206.0410886510413,202.8016045176839,202.9635772705078,36249300,0.0,0.0
204.65000551578154,205.34555352569097,202.4014178114079,203.60194396972656,25460100,0.0,0.0
203.0398003733022,206.38409208408316,203.0398003733022,206.25070190429688,23043700,0.0,0.0
207.59416093128425,211.6054039276982,207.0987054135543,210.70977783203125,39600800,0.0,0.0
212.3676511643842,220.23770202737023,209.0424043109425,215.88345336914062,57602200,0.0,0.0
217.40786085994776,219.75173330507883,215.88340386059215,218.10340881347656,26292900,0.0,0.0
216.28361517405492,217.90335740203147,213.72060436852902,214.8830108642578,28774200,0.0,0.0
214.86394119772189,216.71235847698847,213.83492494312688,216.54086303710938,25725500,0.0,0.0
217.20777104208625,221.8669185708631,216.6170452591316,220.7140350341797,34080800,0.0,0.0
218.446398159846,218.48450340319877,204.8119611811816,207.04148864746094,58400300,0.0,0.0
204.94537631657883,208.0514701428707,195.50321280100798,204.135498046875,59664100,0.0,0.0
196.75141241300133,200.11476469214335,192.65440672867413,193.0926971435547,52924300,0.0,0.0
197.79947425284936,204.69767377044025,196.94195338337948,201.3152618408203,45679000,0.0,0.0
203.32562487927262,204.60237606499447,194.47420152382745,195.67471313476562,35461500,0.0,0.0
197.4183569687935,198.78085610515075,191.73972888993552,194.39801025390625,33620100,0.0,0.0
194.59808088373535,199.32391711756875,194.3979883338327,195.7128448486328,30375800,0.0,0.0
198.58073117424792,199.87652772915487,197.16106711664477,198.92373657226562,21823900,0.0,0.0
200.67691341019759,200.70549598818133,194.9792250965073,195.369873046875,26328100,0.0,0.0
190.60587304442362,194.68381801574102,190.52012532988843,193.3308563232422,34011300,0.0,0.0
193.22603963005503,194.0359033488756,186.98525496432242,190.9298095703125,55225300,0.0,0.0
187.88086351056623,193.14027401034622,187.109105110719,192.97828674316406,39839700,0.0,0.0
195.3793420932357,198.27583520030763,192.5400286648774,197.6279296875,33517100,0.0,0.0
